,Bio,Profession,Gender
0,"_ major duties include preparing daily cash reports, making accounts-receivable entries, and assisting with annual financial statements auditing. _ received _ bachelor’s degree in accounting and finance from the American University of Afghanistan. _ has worked with international entities such as United Nations and Internews Network.",accountant,M
1,"_ received _ PhD in Computer Science from Catholic University of Chile (2002). _ did post-doctoral studies in the University of Illinois at Urbana-Champaign (2003-2004). _ research interests include Computer-Supported Collaborative Work, Educational Technology and Software Engineering. Dr. _ is an active member of IEEE and Chilean Computer Society. _ is also member of the joint steering committee of LACCIR (Latin American and Caribbean Collaborative ITC Research federation) and Chilean representative in CLEI (Centro Latinoamericano de Estudios en Informática). In addition, _ is IT consultant of some Chilean public and private organizations.",professor,M
2,"Dr. _ takes Blue Cross/Blue Shield, Empire BlueCross BlueShield, and Aetna, as well as other insurance carriers. _ is a graduate of UMDNJ-Robert Wood Johnson Medical School. _ is affiliated with Newark Beth Israel Medical Center and Clara Maass Medical Center.",physician,F
3,"In 2008, _ founded Save a Mother, which works to improve hygiene, nutrition, water quality, and health seeking behavior of rural Indians. Save a Mother has reduced maternal mortality rates by 93% and child mortality rates by 66% in over 1000 villages. As a leader in healthcare firms, advocate for better healthcare policies, and advisor to healthcare oriented think tanks and organizations, _ focuses firmly on developing healthcare solutions that are impactful and sustainable.",physician,M
4,"One of _ short stories was commended in the Commonwealth Short Story Competition 1999, run by the Commonwealth Broadcasting Association. Others have appeared in Muse India, Six Minute Magazine and Siliconeer. _ blogs at 'Dancing Fingers Singing Keypad' (http://dfsk.wordpress.com/).",software_engineer,F
5,"_ has been practicing for 37 years and received _ medical degree from University of California. Dr. _ _ is affiliated with Alta Bates Summit Medical Center – Alta Bates Campus Berkeley, California and accepts health insurance from Aetna BCBS Blue Card see moreâ€¦. No Reviews Favorite",physician,F
6,"Based in Sebastopol, _ has a private nutrition practice, works with the Bauman Nutrition Clinic and teaches at Bauman College. With Barbara Liss, _ has recently founded Jules & Bliss, a holistic nutrition company that offers webinars, cleansing programs and personal health and nutrition consulting.",dietitian,F
7,"_. _ _ _'s NPI Number is #1962736645 and has been listed in the NPI registry for 7 years. _. _ _ _'s practice location is listed as: 280 Hospital Pkwy Building D San Jose, CA 95119-1103 and can be reached via phone at (408) 363-4546.",physician,F
8,"_. _ leads GCA's residential real estate and personal injury practices. _ other practice areas include: business and commercial litigation, municipal/tort law, matrimonial law, land use and election law. At Garvey, Cushner & Associates, _. _ plays an instrumental role in defending municipalities against personal injury/tort actions. _. _ is also the team lead on executing residential and commercial real estate transactions and furthers _ legal practice in navigating complex issues concerning partner disputes, business litigation, corporate wind down, and financial disputes. _. _ is also active in representing clients in post-judgment divorce disputes and related child support matters.",attorney,F
9,"In the late 1990s, American Photo ranked _ among the ten most influential women photographers in the history of the medium. Examples of _ work have been published in Esquire, Time, and New York Times Magazine, and _ original prints are collected widely by museums.",photographer,F
